Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
214,50.1083333333,13.0325,F,0.024320458,0,0,0,0,0,0,21,0,0
215,50.0880555556,12.1286111111,M,0.94893617,0,0,0,0,0,4,0,0,100
216,50.1772222222,11.8627777778,F,0.984978541,0,0,17,0,0,1,0,0,0
217,50.1186111111,11.9166666667,F,0.975159688,0,0,0,0,0,0,11,0,1
218,50.1186111111,11.9166666667,F,0.97405828,0,0,0,0,0,0,1,0,34
219,50.0877777778,12.1344444444,M,0.946824225,0,2,18,0,0,0,0,0,0
220,50.1813888889,11.7622222222,F,0.988214286,0,1,0,0,0,5,3,0,4
221,50.1813888889,11.7622222222,M,0.978252857,0,1,0,0,0,0,9,0,0
222,50.0877777778,12.1344444444,M,0.947932053,0,0,0,0,0,0,0,2,0
223,50.1908333333,12.4466666667,F,0.488555079,0,0,0,0,0,0,0,0,0
224,50.1147222222,12.4911111111,F,0.18692253,0,0,0,0,0,0,0,0,0
225,49.9944444444,13.0538888889,M,0.034304685,0,0,1,0,0,0,0,0,3
226,49.9944444444,13.0538888889,M,0.03651789,0,0,9,0,0,1,0,0,0
227,49.9944444444,13.0538888889,M,0.03799336,0,0,0,0,0,2,0,0,11
228,50.1333333333,12.6119444444,M,0.191348974,0,0,0,0,0,0,0,0,2
229,50.0877777778,12.1344444444,M,0.944977843,0,0,0,0,0,0,0,0,6
230,50.0877777778,12.1344444444,M,0.944998154,0,1,0,0,0,0,0,0,17
231,50.0877777778,12.1344444444,F,0.943133047,0,1,0,0,0,0,0,0,8
232,50.0877777778,12.1344444444,F,0.942816297,0,0,0,0,0,0,0,0,25
233,50.0877777778,12.1344444444,F,0.94527897,0,0,0,0,0,0,0,0,33
234,49.9941666667,13.0530555556,F,0.034001432,0,0,3,0,0,0,0,0,0
235,49.9941666667,13.0530555556,F,0.035714286,0,0,3,0,0,0,0,0,0
236,49.9941666667,13.0530555556,F,0.034359341,0,0,0,0,0,0,0,0,2
237,49.9941666667,13.0530555556,M,0.039439735,0,0,0,0,0,0,0,0,100
238,50.1147222222,12.4911111111,M,0.161408657,0,0,0,0,0,0,0,0,2
239,50.1147222222,12.4911111111,M,0.159940763,0,0,0,0,0,0,0,0,1
240,50.1147222222,12.4911111111,F,0.206576126,0,0,0,0,0,0,0,0,0
241,50.1147222222,12.4911111111,M,0.189648799,0,0,0,0,0,0,0,0,0
242,50.1147222222,12.4911111111,F,0.18204578,0,0,0,0,0,0,0,0,0
243,50.1908333333,12.4466666667,F,0.85182534,0,0,0,0,0,0,0,0,0
244,50.1186111111,11.9166666667,F,0.976207386,0,1,0,0,0,0,0,0,6
245,50.1772222222,11.8627777778,F,0.981402003,0,0,0,0,0,1,0,1,100
246,50.1772222222,11.8627777778,M,0.981932153,0,0,12,0,0,75,0,0,0
247,50.2022222222,12.4294444444,M,NA,0,0,0,0,0,0,0,0,0
248,50.0919444444,12.9422222222,F,0.023979957,0,0,0,0,0,0,24,0,0
249,50.0877777778,12.1344444444,M,0.941306755,0,1,0,0,0,0,0,2,2
250,50.0877777778,12.1344444444,F,0.946800863,0,0,0,0,0,0,1,0,1
251,50.1266666667,12.2338888889,M,0.87056213,0,0,0,0,0,0,0,0,0
252,50.1169444444,12.2561111111,F,0.857808023,0,0,0,0,0,0,0,0,24
253,50.1169444444,12.2561111111,F,0.864091559,0,0,0,0,0,0,0,0,2
254,50.1188888889,12.3038888889,F,0.791606887,0,0,0,0,0,0,0,0,12
255,49.9941666667,13.0530555556,F,0.028949249,0,0,0,0,0,0,0,0,693
256,49.9941666667,13.0530555556,F,0.035,0,0,0,0,0,0,0,0,9
257,49.9941666667,13.0530555556,M,0.034355375,0,0,0,1,0,0,0,0,7
258,50.0919444444,12.9422222222,M,0.027665068,0,0,0,0,0,0,3,0,31
259,50.0919444444,12.9422222222,M,0.028729282,0,0,0,0,0,0,NA,NA,NA
260,50.1516666667,12.5319444444,F,0.28008596,0,0,0,0,0,0,NA,NA,NA
261,50.1516666667,12.5319444444,F,0.227956989,0,0,0,0,0,0,NA,NA,NA
262,50.1516666667,12.5319444444,M,0.221605623,0,0,0,0,0,0,NA,NA,NA
263,50.1147222222,12.4911111111,M,0.183831672,0,0,0,0,0,0,NA,NA,NA
264,50.1516666667,12.5319444444,F,0.246418338,0,0,0,0,0,0,0,0,0
265,50.1772222222,11.8627777778,F,0.978525412,0,0,0,0,0,0,NA,NA,NA
266,50.1772222222,11.8627777778,M,0.981187754,0,0,0,0,0,12,0,0,0
267,50.1772222222,11.8627777778,M,0.981577008,0,0,10,0,0,1,0,0,1
268,50.0113888889,12.3294444444,F,0.030206112,0,0,0,0,0,0,0,0,1
269,50.0597222222,12.4205555556,M,0.457301294,0,0,0,0,0,0,0,2,0
270,50.1097222222,12.9988888889,M,0.029531192,0,0,0,0,0,0,3,0,0
271,50.1147222222,12.4911111111,F,0.159253945,0,0,0,1,0,0,0,0,60
272,50.1147222222,12.4911111111,M,0.174732176,0,0,0,0,0,0,0,0,41
273,50.1147222222,12.4911111111,F,0.177187948,0,0,0,0,0,0,0,0,64
274,50.1147222222,12.4911111111,M,0.182958318,0,0,0,0,0,0,0,0,238
275,50.1147222222,12.4911111111,F,0.189111748,0,0,0,0,0,0,0,0,16
276,50.1188888889,12.3038888889,F,0.816129032,0,0,0,0,0,0,0,0,187
277,50.1188888889,12.3038888889,M,0.807166605,0,0,0,0,0,0,0,0,11
278,50.1188888889,12.3038888889,F,0.799856528,0,0,0,0,0,0,0,0,4
279,50.1188888889,12.3038888889,F,0.780330223,0,0,0,0,0,0,0,0,32
280,50.1188888889,12.3038888889,M,0.809134794,0,0,0,0,0,0,0,0,55
281,50.1188888889,12.3038888889,F,0.788944724,0,0,0,0,0,0,0,0,36
282,50.1188888889,12.3038888889,F,0.803225806,0,0,0,0,0,0,0,0,6
